Dasharo compatibility module,Test ID,Test name,Automation state,v0.1.0,v0.2.0,v0.3.0,v0.4.0,v1.0.0,v1.1.0,v1.1.1,v1.1.2
,CPF001.002,CPU not stuck on initial frequency (Windows 11),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
,CPF002.001,CPU runs on expected frequency (Ubuntu 22.04),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
,CPF002.002,CPU runs on expected frequency (Windows 11),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
,CPF004.001,CPU with load runs on expected frequency (Ubuntu 22.04),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
,CPF004.002,CPU with load runs on expected frequency (Windows 11),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
Dasharo Security: BIOS lock support,BLS001.001,BIOS lock support (Ubuntu 22.04),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,BLS002.001,BIOS lock support deactivation (Ubuntu 22.04),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
Dasharo Security: Early Boot DMA protection,EDP001.001,Enable early boot DMA protection support,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,EDP002.001,Disable early boot DMA protection support,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
Dasharo Compatibility: Super I/O initialization - QubesOS,PPS001.001,PS/2 keyboard detection,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
Dasharo Compatibility: Device power control operations,DPC001.001,Reset button (QubesOS),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
Dasharo Compatibility: Display resolution - QubesOS,DSR001.001,Changing the display resolution,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
Dasharo Compatibility: SATA hot plug,SHT001.001,SATA hot plug (firmware),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
,SHT001.002,SATA hot plug (Ubuntu 22.04),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
,SHT001.003,SATA hot plug (Windows 11),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
Dasharo Compatibility: Platform suspend and resume,SUSP001.001,"Platform suspend and resume (Ubuntu 22.04, wakeup flag)",AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,SUSP001.003,"Platform suspend and resume (QubesOS, wakeup flag)",MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,FAIL
,SUSP002.001,"Platform suspend and resume (Ubuntu 22.04, press key)",AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,SUSP002.003,"Platform suspend and resume (QubesOS, press key)",MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
