Test name,Test ID,Result,Comments
"USB devices detection after reboot (Qubes OS)",SUD0003.002,PASS,
"USB devices detection after suspension (Qubes OS) (S3)",SUD0004.004,PASS,
"USB devices detection after warm boot (Ubuntu)",SUD002.201,PASS,
"USB devices detection after reboot (Ubuntu)",SUD003.201,PASS,
"USB devices detection after suspension (Ubuntu)",SUD004.201,PASS,
"USB devices detection after suspension (Ubuntu) (S0ix)",SUD005.201,PASS,
"USB devices detection after suspension (Ubuntu) (S3)",SUD006.201,PASS,
"Platform suspend and resume (Ubuntu, wakeup flag)",SUSP001.201,PASS,
"Platform suspend and resume (Ubuntu, press key)",SUSP002.201,PASS,
"Platform suspend and resume (Ubuntu, power button)",SUSP003.201,PASS,
"Cyclic platform suspend and resume (Ubuntu)",SUSP005.201,PASS,
"Cyclic platform suspend and resume (Ubuntu) (S0ix)",SUSP006.201,PASS,
"Detect TPM after platform reboot (Ubuntu)",TPD003.201,PASS,
"Detect TPM after platform suspend (Ubuntu)",TPD004.201,PASS,
"TPM Support (Ubuntu)",TPM001.201,PASS,
"TPM Support (Windows)",TPM001.301,PASS,
"Verify TPM version (firmware)",TPM002.001,PASS,
"Verify TPM Version (Ubuntu)",TPM002.201,PASS,
"Verify TPM Version (Windows)",TPM002.301,PASS,
"Check TPM Physical Presence Interface (firmware)",TPM003.001,PASS,
"Check TPM Physical Presence Interface (Ubuntu)",TPM003.201,PASS,
"Check TPM Physical Presence Interface (Windows)",TPM003.301,PASS,
"PCRREAD Function Verification (Ubuntu)",TPMCMD002.001,PASS,
"PCREXTEND And PCRRESET Functions (Ubuntu)",TPMCMD003.001,PASS,
"PCREXTEND And PCRRESET Functions - locality protections (Ubuntu)",TPMCMD003.002,PASS,
"PCREVENT Function (Ubuntu)",TPMCMD004.001,PASS,
"CREATEPRIMARY Function Verification (Ubuntu)",TPMCMD005.001,PASS,
"NVDEFINE and NVUNDEFINE Functions Verification (Ubuntu)",TPMCMD006.001,PASS,
"CREATE Function (Ubuntu)",TPMCMD007.001,PASS,
"CREATELOADED Function (Ubuntu)",TPMCMD007.002,PASS,
"Signing the file (Ubuntu)",TPMCMD008.001,PASS,
"Hashing the file (Ubuntu)",TPMCMD010.001,PASS,
"Performing HMAC operation on the file (Ubuntu)",TPMCMD011.001,PASS,
"USB detect and boot after coldboot",UBT001.001,PASS,
"USB detect and boot after warmboot",UBT002.001,PASS,
"USB detect and boot after system reboot",UBT003.001,PASS,
"USB detection after coldboot",UDT001.001,PASS,
"USB detection after warmboot",UDT001.002,PASS,
"USB detection after system reboot",UDT001.003,PASS,
"Manual Single Threaded CPU Benchmark (Windows) (AC)",UPP001.301,PASS,"https://github.com/Dasharo/dasharo-issues/issues/1800"
"Manual Multi Threaded CPU Benchmark (Windows) (AC)",UPP002.301,PASS,"https://github.com/Dasharo/dasharo-issues/issues/1800"
"USB devices detected in FW",USB001.001,PASS,
"USB devices detected by OS (Ubuntu)",USB001.201,PASS,
"USB devices detected by OS (Windows)",USB001.301,PASS,
"USB keyboard detected in FW",USB002.001,PASS,
"USB keyboard in OS (Ubuntu)",USB002.201,PASS,
"USB keyboard in OS (Windows)",USB002.301,PASS,
"USB power and charging option is present",USC001.001,PASS,
"Power IS delivered through always-on USB A ports",USC002.001,PASS,
"Power IS delivered through always-on USB C ports",USC003.001,PASS,
"Power IS NOT delivered through always-on USB A ports",USC004.001,PASS,
"Power IS NOT delivered through always-on USB C ports",USC005.001,PASS,
"Power IS NOT delivered through regular USB A ports",USC006.001,PASS,
